id,name,category,free_type,access,difficulty,platforms,account_required,card_required,commercial_use,privacy,license,homepage,source_url,last_verified,status,confidence
crewai,CrewAI,agents,open-source,hybrid,intermediate,windows|macos|linux|docker,False,False,depends,configurable,MIT,https://github.com/crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,2026-08-04,active,high
langchain,LangChain,agents,open-source,hybrid,intermediate,windows|macos|linux|docker,False,False,depends,configurable,MIT,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,2026-08-04,active,high
langgraph,LangGraph,agents,open-source,hybrid,advanced,windows|macos|linux|docker,False,False,depends,configurable,MIT,https://github.com/langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,2026-08-04,active,high
llamaindex,LlamaIndex,agents,open-source,hybrid,intermediate,windows|macos|linux|docker,False,False,depends,configurable,MIT,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,2026-08-04,active,high
gemini-api,Gemini Developer API,api,free-tier,cloud,intermediate,web|windows|macos|linux,True,False,depends,provider-processed,,https://ai.google.dev/,https://ai.google.dev/gemini-api/docs/pricing,2026-08-04,active,high
github-models,GitHub Models,api,free-tier,cloud,intermediate,web|windows|macos|linux,True,False,check-license,provider-processed,,https://github.com/marketplace/models,https://docs.github.com/en/github-models/use-github-models/prototyping-with-ai-models,2026-08-04,active,high
groq-api,Groq API Free Plan,api,free-tier,cloud,intermediate,web|windows|macos|linux,True,False,depends,provider-processed,,https://console.groq.com/,https://console.groq.com/docs/rate-limits,2026-08-04,active,high
openrouter-free,OpenRouter Free Models,api,free-tier,cloud,intermediate,web|windows|macos|linux,True,False,check-license,provider-processed,,https://openrouter.ai/models?pricing=free,https://openrouter.ai/pricing,2026-08-04,active,high
gradio,Gradio,app-builder,open-source,hybrid,beginner,web|windows|macos|linux|docker,False,False,yes,configurable,Apache-2.0,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,2026-08-04,active,high
langflow,Langflow,app-builder,open-source,hybrid,beginner,windows|macos|linux|docker,False,False,depends,configurable,MIT,https://github.com/langflow-ai/langflow,https://github.com/langflow-ai/langflow,2026-08-04,active,high
streamlit,Streamlit,app-builder,open-source,hybrid,beginner,web|windows|macos|linux|docker,False,False,yes,configurable,Apache-2.0,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,2026-08-04,active,high
chatgpt,ChatGPT,assistant,freemium,cloud,beginner,web|windows|macos,True,False,depends,provider-processed,,https://chatgpt.com/,https://openai.com/chatgpt/pricing,2026-08-04,active,high
claude,Claude,assistant,freemium,cloud,beginner,web|windows|macos,True,False,depends,provider-processed,,https://claude.ai/,https://support.claude.com/en/articles/8325606-what-is-the-pro-plan,2026-08-04,active,high
gemini-app,Gemini,assistant,freemium,cloud,beginner,web,True,False,depends,provider-processed,,https://gemini.google.com/,https://support.google.com/gemini/answer/16275805?hl=en,2026-08-04,active,high
perplexity,Perplexity,assistant,freemium,cloud,beginner,web,True,False,depends,provider-processed,,https://www.perplexity.ai/,https://www.perplexity.ai/help-center/en/articles/11187416-which-perplexity-subscription-plan-is-right-for-you,2026-08-04,active,high
aider,Aider,coding,open-source,hybrid,intermediate,windows|macos|linux,False,False,depends,configurable,Apache-2.0,https://github.com/Aider-AI/aider,https://github.com/Aider-AI/aider,2026-08-04,active,high
cline,Cline,coding,open-source,hybrid,intermediate,windows|macos|linux,False,False,depends,configurable,Apache-2.0,https://github.com/cline/cline,https://github.com/cline/cline,2026-08-04,active,high
continue,Continue,coding,open-source,hybrid,intermediate,windows|macos|linux,False,False,depends,configurable,Apache-2.0,https://github.com/continuedev/continue,https://github.com/continuedev/continue,2026-08-04,active,high
openhands,OpenHands,coding,open-source,hybrid,advanced,linux|docker,False,False,depends,configurable,MIT,https://github.com/OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,2026-08-04,active,high
google-colab,Google Colab,compute,free-compute,cloud,beginner,web,True,False,depends,provider-processed,,https://colab.research.google.com/,https://research.google.com/colaboratory/faq.html,2026-08-04,active,high
kaggle-notebooks,Kaggle Notebooks,compute,free-compute,cloud,beginner,web,True,False,depends,provider-processed,,https://www.kaggle.com/code,https://www.kaggle.com/docs/efficient-gpu-usage,2026-08-04,active,high
hugging-face-datasets,Hugging Face Datasets,dataset,open-source,hybrid,intermediate,web|windows|macos|linux,False,False,check-license,configurable,Apache-2.0,https://github.com/huggingface/datasets,https://github.com/huggingface/datasets,2026-08-04,active,high
deepeval,DeepEval,evaluation,open-source,hybrid,intermediate,windows|macos|linux,False,False,depends,configurable,Apache-2.0,https://github.com/confident-ai/deepeval,https://github.com/confident-ai/deepeval,2026-08-04,active,high
mlflow,MLflow,evaluation,open-source,hybrid,advanced,windows|macos|linux|docker,False,False,yes,configurable,Apache-2.0,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,2026-08-04,active,high
promptfoo,Promptfoo,evaluation,open-source,hybrid,intermediate,windows|macos|linux|docker,False,False,depends,configurable,MIT,https://github.com/promptfoo/promptfoo,https://github.com/promptfoo/promptfoo,2026-08-04,active,high
ragas,Ragas,evaluation,open-source,hybrid,intermediate,windows|macos|linux,False,False,depends,configurable,Apache-2.0,https://github.com/vibrantlabsai/ragas,https://github.com/vibrantlabsai/ragas,2026-08-04,active,high
comfyui,ComfyUI,image-generation,open-source,local,intermediate,windows|macos|linux,False,False,yes,local,GPL-3.0,https://github.com/comfy-org/ComfyUI,https://github.com/comfy-org/ComfyUI,2026-08-04,active,high
invokeai,InvokeAI,image-generation,open-source,local,intermediate,windows|macos|linux,False,False,check-license,local,Apache-2.0,https://github.com/invoke-ai/InvokeAI,https://github.com/invoke-ai/InvokeAI,2026-08-04,active,high
stable-diffusion-webui-forge,Stable Diffusion WebUI Forge,image-generation,open-source,local,advanced,windows|linux,False,False,check-license,local,AGPL-3.0,https://github.com/lllyasviel/stable-diffusion-webui-forge,https://github.com/lllyasviel/stable-diffusion-webui-forge,2026-08-04,watch,high
bentoml,BentoML,inference-server,open-source,hybrid,advanced,linux|docker,False,False,depends,configurable,Apache-2.0,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,2026-08-04,active,high
onnx-runtime,ONNX Runtime,inference-server,open-source,local,advanced,windows|macos|linux|docker,False,False,depends,local,MIT,https://github.com/microsoft/onnxruntime,https://github.com/microsoft/onnxruntime,2026-08-04,active,high
vllm,vLLM,inference-server,open-source,local,advanced,linux|docker,False,False,yes,local,Apache-2.0,https://github.com/vllm-project/vllm,https://github.com/vllm-project/vllm,2026-08-04,active,high
open-webui,Open WebUI,interface,open-source,hybrid,intermediate,docker|windows|macos|linux,False,False,depends,configurable,Open WebUI License,https://github.com/open-webui/open-webui,https://github.com/open-webui/open-webui/blob/main/LICENSE,2026-08-04,watch,high
hugging-face-agents-course,Hugging Face Agents Course,learning,open-source,cloud,intermediate,web|windows|macos|linux,False,False,yes,configurable,Apache-2.0,https://github.com/huggingface/agents-course,https://github.com/huggingface/agents-course,2026-08-04,active,high
